name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Bandarban,,16705992B23463827258150,BGD,ADM2,primary_healthcare,TIME,4200,391068,44022,73.02,1419,2.35,163099,73.36,5340,2.4,371411,73.17,12230,2.41,103761,73.3,3460,2.44,22715,73.21,757,2.44,73.17,12887,2.41
Bandarban,,16705992B23463827258150,BGD,ADM2,primary_healthcare,TIME,4800,392261,44157,73.24,135,0.22,163591,73.58,492,0.22,372544,73.39,1133,0.22,104076,73.52,315,0.22,22785,73.44,70,0.23,73.39,1193,0.22
Bandarban,,16705992B23463827258150,BGD,ADM2,primary_healthcare,TIME,5400,397555,44758,74.24,601,1.0,165778,74.56,2187,0.98,377573,74.38,5029,0.99,105471,74.5,1395,0.99,23091,74.42,306,0.99,74.38,5294,0.99
Bandarban,,16705992B23463827258150,BGD,ADM2,primary_healthcare,TIME,6000,405248,45630,75.68,872,1.45,168949,75.99,3171,1.43,384880,75.82,7307,1.44,107499,75.94,2028,1.43,23537,75.86,446,1.44,75.82,7693,1.44
Bandarban,,16705992B23463827258150,BGD,ADM2,primary_healthcare,TIME,6600,426474,48044,79.69,2414,4.0,177811,79.98,8862,3.99,405045,79.79,20165,3.97,113098,79.89,5599,3.96,24764,79.82,1227,3.95,79.79,21226,3.97
Bandarban,,16705992B23463827258150,BGD,ADM2,primary_healthcare,TIME,7200,426914,48094,79.77,50,0.08,177993,80.06,182,0.08,405464,79.88,419,0.08,113214,79.97,116,0.08,24790,79.9,26,0.08,79.88,440,0.08
Jessore,,16705992B28022870637862,BGD,ADM2,primary_healthcare,TIME,600,960975,70695,31.46,70695,31.46,314225,31.47,314225,31.47,886924,31.49,886924,31.49,290101,31.49,290101,31.49,81567,31.46,81567,31.46,31.49,960975,31.49
Jessore,,16705992B28022870637862,BGD,ADM2,primary_healthcare,TIME,1200,2182937,160575,71.46,89880,40.0,713850,71.49,399625,40.02,2014640,71.52,1127716,40.04,659008,71.54,368907,40.05,185373,71.49,103806,40.03,71.52,1221962,40.04
Jessore,,16705992B28022870637862,BGD,ADM2,primary_healthcare,TIME,1800,2901738,213600,95.06,53025,23.6,949311,95.07,235461,23.58,2677924,95.07,663284,23.55,875801,95.07,216793,23.53,246513,95.07,61140,23.58,95.07,718801,23.55
Jessore,,16705992B28022870637862,BGD,ADM2,primary_healthcare,TIME,2400,3029326,223003,99.25,9403,4.18,991075,99.25,41764,4.18,2795668,99.25,117744,4.18,914297,99.25,38496,4.18,257355,99.25,10842,4.18,99.25,127588,4.18
