name,iso,id,country,admin_level,category,range_type,range,population,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,population_share,population_interval,population_interval_share
Narayanganj,,16705992B28796010313895,BGD,ADM2,education,DISTANCE,10000,3596012,1277686,96.67,218344,16.52,96.68,614267,16.51
Narayanganj,,16705992B28796010313895,BGD,ADM2,education,DISTANCE,15000,3648213,1296250,98.08,18564,1.4,98.08,52201,1.4
Narayanganj,,16705992B28796010313895,BGD,ADM2,education,DISTANCE,20000,3649907,1296853,98.12,603,0.05,98.13,1694,0.05
Narayanganj,,16705992B28796010313895,BGD,ADM2,education,DISTANCE,25000,3658448,1299891,98.35,3038,0.23,98.36,8541,0.23
Narayanganj,,16705992B28796010313895,BGD,ADM2,education,DISTANCE,30000,3660004,1300445,98.39,554,0.04,98.4,1556,0.04
Narayanganj,,16705992B28796010313895,BGD,ADM2,education,DISTANCE,35000,3660313,1300555,98.4,110,0.01,98.41,309,0.01
Narayanganj,,16705992B28796010313895,BGD,ADM2,education,DISTANCE,40000,3660533,1300633,98.41,78,0.01,98.42,220,0.01
Narayanganj,,16705992B28796010313895,BGD,ADM2,education,DISTANCE,45000,3660718,1300699,98.41,66,0.0,98.42,185,0.0
Narayanganj,,16705992B28796010313895,BGD,ADM2,education,DISTANCE,50000,3660781,1300721,98.42,22,0.0,98.42,63,0.0
Lakshmipur,,16705992B31973889793084,BGD,ADM2,education,DISTANCE,5000,431210,181484,21.35,181484,21.35,21.33,431210,21.33
Lakshmipur,,16705992B31973889793084,BGD,ADM2,education,DISTANCE,10000,645582,271613,31.95,90129,10.6,31.94,214372,10.61
Lakshmipur,,16705992B31973889793084,BGD,ADM2,education,DISTANCE,15000,847830,356628,41.95,85015,10.0,41.94,202248,10.01
Lakshmipur,,16705992B31973889793084,BGD,ADM2,education,DISTANCE,20000,1191111,500800,58.91,144172,16.96,58.93,343281,16.98
Lakshmipur,,16705992B31973889793084,BGD,ADM2,education,DISTANCE,25000,1478639,621631,73.13,120831,14.21,73.15,287528,14.22
