name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Joypurhat,,16705992B2288856744536,BGD,ADM2,hospitals,TIME,4200,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
Joypurhat,,16705992B2288856744536,BGD,ADM2,hospitals,TIME,4800,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
Joypurhat,,16705992B2288856744536,BGD,ADM2,hospitals,TIME,5400,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
Joypurhat,,16705992B2288856744536,BGD,ADM2,hospitals,TIME,6000,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
Joypurhat,,16705992B2288856744536,BGD,ADM2,hospitals,TIME,6600,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
Joypurhat,,16705992B2288856744536,BGD,ADM2,hospitals,TIME,7200,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
Bandarban,,16705992B23463827258150,BGD,ADM2,hospitals,TIME,600,135544,15370,25.49,15370,25.49,56372,25.36,56372,25.36,128755,25.36,128755,25.36,35787,25.28,35787,25.28,7849,25.3,7849,25.3,25.36,135544,25.36
Bandarban,,16705992B23463827258150,BGD,ADM2,hospitals,TIME,1200,214411,24224,40.18,8854,14.69,89162,40.1,32790,14.75,203650,40.12,74895,14.75,56734,40.08,20947,14.8,12438,40.09,4589,14.79,40.12,78867,14.76
Bandarban,,16705992B23463827258150,BGD,ADM2,hospitals,TIME,1800,270679,30604,50.76,6380,10.58,112885,50.77,23723,10.67,257107,50.65,53457,10.53,71629,50.6,14895,10.52,15690,50.57,3252,10.48,50.64,56268,10.53
Bandarban,,16705992B23463827258150,BGD,ADM2,hospitals,TIME,2400,301088,34031,56.45,3427,5.68,125431,56.42,12546,5.64,285985,56.34,28878,5.69,79677,56.28,8048,5.69,17458,56.27,1768,5.7,56.33,30409,5.69
